"id"	"ru_meaning"	"ru_meaning_raw"	"ru_meaning_lit"	"ru_notes"	"ru_cognate"
"55253"	""	"счастливый с материальной формой; довольный материальностью"	""	""	""
"55254"	""	"связанный с материей; соединённый с материальностью"	""	""	""
"55255"	""	"преодолевающий узы формы; преодолевающий материальные оковы; превосходящий привязанность к материи"	""	""	""
"55256"	""	"название грамматического трактата Буддапи; в традиции Каккаьяны; Падарупасиддхи; досл. завершение окончательной формы"	""	""	""
"55257"	""	"комментарий к грамматике Рупасиддхи"	""	""	""
"55258"	""	"личная красота"	""	""	""
"55259"	"Саньютта Никая 18.2 (SN18.2)"	""	""	""	""
"55260"	"Саньютта Никая 25.2 (SN25.2)"	""	""	""	""
"55261"	"Саньютта Никая 26.2 (SN26.2)"	""	""	""	""
"55262"	"Саньютта Никая 27.2 (SN27.2)"	""	""	""	""
"55263"	"Ангуттара Никая 4.65 (AN4.65)"	""	""	""	""
"55264"	""	"понимание тонкости материи; изящество формы"	""	""	""
"55265"	""	"понимание тонкости материи; изящество формы"	""	""	""
"55266"	"имеющий материальную форму"	""	""	""	""
"55267"	""	"красивый; привлекательный; досл. обладающий формой качества"	""	""	""
"55268"	"исследование формы"	""	""	""	""
"55269"	"размышление о форме; мысль об очертание"	""	""	""	""
"55270"	"перемена и изменение физической формы"	""	""	""	""
"55271"	"изменение увядание и окончание формы; перемена ослабление и прекращение образа"	""	""	""	""
"55272"	""	"родившийся от колебаний после изменения формы"	""	""	""
"55273"	""	"рожденный в результате изменений после преобразования формы"	""	""	""
"55274"	""	"катящийся вслед за изменением формы"	""	""	""
"55275"	"(объекты зрения) материальные формы; образы (чего-л.)"	""	""	""	""
"55276"	"Саньютта Никая 33.1 (SN33.1)"	""	""	""	""
"55277"	"Саньютта Никая 33.6-10 (SN33.6-10)"	""	""	""	""
"55278"	""	"объект восприятия, такой как форма и т. д."	""	""	""
"55279"	""	"личный опыт формы и тому подобного"	""	""	""
"55280"	"Саньютта Никая 18.12-20 (SN18.12-20)"	""	""	""	""
"55281"	""	"глава 1 Экаканипаты, Аṅгуттара Никая 1.1-10"	""	""	""
"55282"	""	"благодаря форме; основанный на материальной форме"	""	""	""
"55283"	""	"владыка форм"	""	""	""
"55284"	""	"побежденный формами; подавленный видами"	""	""	""
"55285"	"Саньютта Никая 33.16-20 (SN33.16-20)"	""	""	""	""
"55286"	"Саньютта Никая 33.11-15 (SN33.11-15)"	""	""	""	""
"55287"	""	"факт непостоянства формы; факт нестабильности материи"	""	""	""
"55288"	"Саньютта Никая 33.31-35 (SN33.31-35)"	""	""	""	""
"55289"	"Саньютта Никая 33.51-55 (SN33.51-55)"	""	""	""	""
"55290"	"Саньютта Никая 33.36-40 (SN33.36-40)"	""	""	""	""
"55291"	"Саньютта Никая 33.46-50 (SN33.46-50)"	""	""	""	""
"55292"	"Саньютта Никая 33.21-25 (SN33.21-25)"	""	""	""	""
"55293"	""	"по причине материального и плотского"	""	""	""
"55294"	""	"из-за отсутствия материального и плотского"	""	""	""
"55295"	"поле форм; область того что видимо"	""	""	""	""
"55296"	""	"основанный на форме; базирующийся на материальном"	""	""	""
"55297"	""	"видимый объект; область формы; сфера видения"	""	""	""
"55298"	"получающий удовольствие от форм; наслаждающийся видом; (комм) живущий среди форм"	""	""	""	""
"55299"	""	"наслаждающийся материальной формой; получающий удовольствие от материальности"	""	""	""
"55300"	""	"с материальной формой и бестелесный; вещественный и невещественный"	""	""	""
"55301"	""	"форма и бесформенность; материальность и нематериальность"	""	""	""
"55302"	""	"форма и бесформенное состояние; материальный и нематериальный элемент"	""	""	""
"55303"	""	"(грам) использование слов «форма и бесформенное состояние»"	""	""	""
"55304"	""	"классификация материальности и нематериальности"	""	""	""
"55305"	""	"форма и бесформенное существование"	""	""	""
"55306"	"Саньютта Никая 33.41-45 (SN33.41-45)"	""	""	""	""
"55307"	"Саньютта Никая 33.26-30 (SN33.26-30)"	""	""	""	""
"55308"	"принадлежащий к миру формы"	""	""	""	""
"55309"	""	"медитация в области формы"	""	""	""
"55310"	""	"красивый, женщина"	""	""	""
"55311"	"серебро; серебряная монета; деньги"	""	""	""	""
"55312"	""	"красивый; привлекательный; хорошо сложенный"	""	""	""
"55313"	""	"заполненный серебряной пудрой"	""	""	""
"55314"	"меняла; денежный торговец"	"меняла; денежный торговец"	""	""	""
"55315"	"выбрасывающий деньги; тот кто избавляется от денег"	"растрачивающий деньги; устраняющий наличные"	""	""	""
"55316"	""	"принятие денег; получение денег"	""	""	""
"55317"	""	"сребряная чаша"	""	""	""
"55318"	"Саньютта Никая 17.12 (SN17.12)"	""	""	""	""
"55319"	"получатель денег; тот, кто принял деньги"	"получатель денег; тот, кто получил наличные"	""	""	""
"55320"	"серебрянный; из серебра"	""	""	""	""
"55321"	""	"подобный привлекательной форме"	""	""	""
"55322"	"воспринимающий как деньги"	"воспринимающий как деньги"	""	""	""
"55323"	"торговля ценностями; деловые операции; участие в денежном потоке"	""	"торговля деньгами"	""	""
"55324"	""	"правило о торговле с деньгами; ниссаджия 19"	""	""	""
"55325"	""	"правило о деньгах; Ниссаджия 18"	""	""	""
"55326"	"материальной природы"	""	""	""	""
"55327"	"Саньютта Никая 24.37 (SN24.37)"	""	""	""	""
"55328"	"Саньютта Никая 24.39 (SN24.39)"	""	""	""	""
"55329"	"Саньютта Никая 24.39 (SN24.39)"	""	""	""	""
"55330"	""	"привязанный к форме; увлеченный формой; связанный с материей; досл. приближающийся к форме"	""	""	""
"55331"	"совокупность материи к которой (самость) цепляется"	""	""	""	""
"55332"	"в физической форме; с материальным телом"	""	"переживающий форму"	""	""
"55333"	""	"проститутка; секс-работница; досл. живущая за счет своего тела"	""	""	""
"55334"	"предоставление вида; организация чего-либо для просмотра"	"предоставление вида; организация чего-либо для просмотра; досл. приблизить форму"	"доставка формы рядом"	""	""
"55335"	"совокупность материи, подверженная цеплянию"	""	""	""	""
"55336"	""	"привязанный к форме; привлеченный к форме; занятый материей; досл. приближающийся к форме"	""	""	""
"55337"	"растет; поднимается; увеличивается"	""	""	""	""
"55338"	""	"(о речи) принимается (в суде); досл. поднимается"	""	""	""
"55339"	""	"лечит (рану); досл. восходит"	""	""	""
"55340"	""	"рост; подъём; возрастание; досл. восхождение"	""	""	""
"55341"	""	"вырос; взошёл; исцелил (рану); досл. взошёл"	""	""	""
"55342"	""	"выросший; поднявшийся"	""	""	""
"55343"	""	"растущая трава; длинная трава; досл. выросшая трава"	""	""	""
"55344"	"(выражая презрение) эй!"	""	""	""	""
"55345"	""	"испускание"	""	""	""
"55346"	""	"пыль"	""	""	""
"55347"	""	"имя царя; сын царя Дисампати; досл. пыль"	""	""	""
"55348"	""	"информирование царя Рену"	""	""	""
"55349"	"великий ученик Будды; лучший ученик в проживании в лесу"	""	""	""	""
"55350"	"Петаваттху 39 (PV39)"	""	""	""	""
"55351"	"Виманаваттху 52 (VV52)"	""	""	""	""
"55352"	"болезнь"	""	""	""	""
"55353"	""	"время болезни"	""	""	""
"55354"	""	"тип болезни; вид недуга"	""	""	""
"55355"	"как болезнь"	""	""	""	""
"55356"	""	"очаговый"	""	""	""
"55357"	"рассадник заразы; гнездо болезни"	""	""	""	""
"55358"	"бедствие болезни; неудача заболевания; потеря здоровья"	""	""	""	""
"55359"	""	"из-за потери здоровья; досл. причина бедствия болезни"	""	""	""
"55360"	"как болезнь; как недуг"	""	"ставший болезнью"	""	""
"55361"	""	"сто болезней"	""	""	""
"55362"	"Ангуттара Никая 4.157 (AN4.157)"	""	""	""	""
"55363"	""	"врач"	""	""	""
"55364"	"сильное заболевание; серьезная болезнь; тяжелая болезнь"	""	""	""	""
"55365"	""	"больной"	""	""	""
"55366"	""	"страдающий; больной; имеющий определённое заболевание"	""	""	""
"55367"	""	"пациент"	""	""	""
"55368"	""	"сияет"	""	""	""
"55369"	""	"светится, является блестящим, является заметным"	""	""	""
"55370"	""	"расположение; выбор; сияние; досл. расположение"	""	""	""
"55371"	""	"одобряет; согласен (с); считает приятным"	""	""	""
"55372"	""	"светил"	""	""	""
"55373"	""	"одобренный; понравившийся; досл. вызванный, чтобы понравиться"	""	""	""
"55374"	"одобряет; соглашается (с); находит приятным"	""	"заставляет нравиться"	""	""
"55375"	""	"согласившись; понравившись, досл. вызвав симпатию"	""	""	""
"55376"	""	"одобрил; согласился; понравился"	""	""	""
"55377"	""	"имя группы божеств; досл. тот, кто причиняет вред; преступник"	""	""	""
"55378"	""	"плачет (о); оплакивает; вопит"	""	""	""
"55379"	""	"рыдание; плакание"	""	""	""
"55380"	""	"правило о плаче"	""	""	""
"55381"	"плачущий; рыдающий; причитающий"	""	""	""	""
"55382"	""	"плачущий; рыдающий"	""	""	""
"55383"	""	"заставляет плакать; доводит до слёз"	""	""	""
"55384"	""	"плакал; рыдал; причитал"	""	""	""
"55385"	""	"плачущий, рыдавший, вопивший"	""	""	""
"55386"	""	"плач; рыдание; вопль; досл. плачущий"	""	""	""
"55387"	""	"простое плаканье; немного рыданий"	""	""	""
"55388"	""	"плакать; рыдать"	""	""	""
"55389"	""	"заплакав; проплакав"	""	""	""
"55390"	"помеха; препятствие; опасность"	""	""	""	""
"55391"	""	"препятствие жажды"	""	""	""
"55392"	""	"препятствие; предотвращение"	""	""	""
"55393"	""	"плантатор; садовник; культиватор; производитель; досл. тот, кто заставляет подниматься"	""	""	""
"55394"	""	"посадчик; земледелец, досл. вызывает рост"	""	""	""
"55395"	""	"посадка, возделывание; досл. вызывание к восходу"	""	""	""
"55396"	""	"исцеление; излечение; досл. заставление расти"	""	""	""
"55397"	""	"лечить его; исцелять его; досл. ради того, чтобы вызвать рост"	""	""	""
"55398"	""	"сажающий; культивирующий; досл. вызывающий подъём"	""	""	""
"55399"	""	"посадив; взрастив, досл. заставив подняться"	""	""	""
"55400"	"заставляет сажать; побуждает расти; заставляет возделывать"	"заставляет сажать; заставляет расти; заставляет возделывать; досл. заставляет подняться"	"побуждает подняться"	"двойной побудит. залог?"	""
"55401"	"обвиненный; осуждённый"	"обвиненный, осуждённый, импичмент; досл. вызванный к восходу"	"побуждённый к восходу"	""	""
"55402"	""	"посаженный; возделанный; выращенный; досл. вызванный подняться"	""	""	""
"55403"	""	"посаженное поле; выращенная культура; досл. причина восхождения"	""	""	""
"55404"	""	"посаженный; возделанный; досл. вызывающий подъем"	""	""	""
"55405"	""	"(о древке стрелы) специально выращенный; целенаправленно культивированный; досл. поднимающий"	""	"[пер. ИИ] Два типа древков ropima различаются между тем, вырастают ли они в дикой природе или культивируются специально для этой цели."	""
"55406"	""	"сажая; возделывая; досл. поднимая"	""	""	""
"55407"	""	"выращивающий; досл. заставляющий подниматься"	""	""	""
"55408"	""	"должно быть понято; досл. привести к восхождению"	""	""	""
"55409"	"сажает; выращивает; культивирует"	"сажает; выращивает; культивирует; досл. заставляет взойти"	"побуждает взойти"	""	""
"55410"	""	"сажать, выращивать, культивировать, досл. заставлять восходить"	""	""	""
"55411"	""	"(о флоре) выращенный; возделанный; досл. заставивший подняться"	""	""	""
"55412"	""	"сажающий; культивирующий; досл. заставляющий подниматься"	""	""	""
"55413"	""	"посадил; возделал, досл. поднял"	""	""	""
"55414"	""	"волосы на теле"	""	""	""
"55415"	""	"римский"	""	""	""
"55416"	"Джатака 277 (JA277)"	""	""	""	""
"55417"	""	"пилоэрекция; гусиная кожа"	""	""	""
"55418"	""	"отрыгивает; жует жвачку"	""	""	""
"55419"	""	"отрыгивание; жевание жвачки"	""	""	""
"55420"	""	"срыгнув; пережёвав жвачку"	""	""	""
"55422"	""	"название города"	""	""	""
"55423"	"название ада"	""	"сильный вой"	""	""
"55424"	""	"раздражение; гнев; ярость; бешенство"	""	""	""
"55425"	""	"раздражение; вызов недовольства; приведение в ярость; досл. вызывающий гнев"	""	""	""
"55426"	""	"провокационный; раздражающий; приводящий в ярость; досл. вызывающий гнев"	""	""	""
"55427"	""	"злится, сердится"	""	""	""
"55428"	""	"злость; провокация гнева; причинение гнева"	""	""	""
"55429"	""	"злящийся; рассерженный"	""	""	""
"55430"	""	"злит; раздражает; надоедает; бесит; досл. вызывает гнев"	""	""	""
"55431"	""	"имя смотрителя уборной; досл. сердитый"	""	""	""
"55432"	""	"разгневанный; раздражённый"	""	""	""
"55433"	""	"раздражаемый; раздражающийся; сердящийся; приходящий в ярость; досл. вызываемый к гневу"	""	""	""
"55434"	""	"раздражитель; раздражающий; досаждающий; досл. кто вызывает гнев"	""	""	""
"55435"	"злит; раздражает; оскорбляет"	""	"вызывает гнев"	""	""
"55436"	""	"разозлив; раздражив"	""	""	""
"55437"	""	"раздосадовал, разозлил, раздражил"	""	""	""
"55438"	""	"имя молодого мирянина; досл. вознесение"	""	""	""
"55439"	"Джатака 501 (JA501)"	""	""	""	""
"55440"	""	"растет; восходит, заживает (рана); досл. восходит"	""	""	""
"55441"	""	"восхождение; возрастание; досл. восхождение"	""	""	""
"55442"	""	"исцеление; лечение; досл. восхождение"	""	""	""
"55443"	""	"исцелять (это); лечить (это); досл. ради того, чтобы вызвать рост"	""	""	""
"55444"	""	"подлежит восхождению, досл. к восхождению; пригоден для восхождения, досл. к восхождению"	""	""	""
"55445"	"Джатака 45 (JA45)"	""	""	""	""
"55446"	""	"(в названиях нескольких растений и животных) красный; красный цветом"	""	""	""
"55447"	""	"красный"	""	""	""
"55448"	""	"вид оленя"	""	""	""
"55449"	""	"вид рыбы"	""	""	""
"55450"	""	"карп; cyprinus rohitaka; досл. красная рыба"	""	""	""
"55451"	"имя божества"	""	"красный конь"	""	""
"55452"	"Саньютта Никая 2.26 (SN2.26)"	""	"наставление с Рохитассой"	""	""
"55453"	"Ангуттара Никая 4.45 (AN4.45)"	""	""	""	""
"55454"	""	"глава 5 катукканипаты, ангуттара никая 4.41-50"	""	""	""
"55455"	""	"название народа, ранее жившего на горе Вепулла"	""	""	""
"55456"	"Тхеригатха 67, глава 13.2, стихи 271-291 (THI67)"	""	""	""	""
"55457"	""	"(грам) буква л; 36-я буква алфавита; зубной полугласный"	""	""	""
"55458"	""	"парус"	""	""	""
"55459"	""	"(грам) глагольные времена"	""	""	""
"55460"	""	"короткий"	""	""	""
"55461"	""	"карликовый; короткий; маленький"	""	""	""
"55462"	""	"имя архата-монаха; досл. счастливый карлик"	""	"Тхерагатха стихи 466-472 (TH72, TH225) относят к нему"	""
"55463"	"Тхерагатха 225, глава 7.2, стихи 466-472 (TH225)"	""	""	""	""
"55464"	"Саньютта Никая 21.6 (SN21.6)"	""	""	""	""
"55465"	""	"цель; метка; мишень"	""	""	""
"55466"	""	"ставка в азартных играх; досл. знак"	""	""	""
"55467"	""	"ценник; знак стоимости"	""	""	""
"55468"	""	"сто тысяч; досл. знак"	""	""	""
"55469"	""	"благоприятный; поразительный; примечательный; досл. имеющий благоприятные знаки"	""	""	""
"55470"	"особый знак; родимое пятно; предзнаменование"	""	"метка"	""	""
"55471"	""	"(толкование) благоприятных знаков; родимые пятна; предзнаменовательные отметки; досл. обозначение"	""	""	""
"55472"	"качество; характеристика"	""	"отметка"	""	""
"55473"	""	"основная характеристика; отличительная черта; характерная особенность; досл. обозначение"	""	"[пер. ИИ] 1 признак, 2 вкус, 3 условия, 4 основание"	""
"55474"	""	"(грам) правило; определение; досл. примечание"	""	""	""
"55475"	""	"клеймо; досл. отметка"	""	""	""
"55476"	""	"имя монаха; досл. отметка"	""	""	""
"55477"	""	"обладающий качеством; с характеристиками; досл. обозначающий"	""	""	""
"55478"	""	"знающий о торговых марках"	""	""	""
"55479"	""	"знающий в характеристиках; эксперт в качествах"	""	""	""
"55480"	""	"знающий благоприятные знаки"	""	""	""
"55481"	""	"чтец знаков; толкователь знаков"	""	""	""
"55482"	"Джатака 11 (JA11)"	""	""	""	""
"55483"	""	"выдающееся качество; существенное назначение; проявление; непосредственное основание"	""	""	""
"55484"	""	"вещество как характеристика"	""	""	""
"55485"	""	"совершенство признаков"	""	""	""
"55486"	""	"обладающий благоприятными знаками"	""	""	""
"55487"	""	"связанное с характеристиками, (комм) Сутта Никая 19 (SN19)"	""	""	""
"55488"	"Дигха Никая 30 (DN30)"	"дискурс о качествах; досл. наставление о признаках"	"наставление о качествах"	""	""
"55489"	"Ангуттара Никая 3.2 (AN3.2)"	""	""	""	""
"55490"	""	"медитация на (трех) характеристиках; медитация, основанная на (трех) качествах"	""	""	""
"55491"	""	"красивая бедро"	""	""	""
"55492"	""	"благоприятный; досл. отмечающий"	""	""	""
"55493"	""	"отмеченный, выделенный, характеризованный, досл. отмеченный"	""	""	""
"55494"	""	"удача, процветание, божество богатства; досл. метка"	""	""	""
"55495"	""	"отмечает; отличает; характеризует; досл. отмечает"	""	""	""
"55496"	""	"пометив; различив; охарактеризовав; досл. пометив"	""	""	""
"55497"	""	"отметил; выделил; охарактеризовал; досл. отметил"	""	""	""
"55498"	"Виманаваттху 19 (VV19)"	""	""	""	""
"55499"	""	"приклеенный; прикрепленный"	""	""	""
"55500"	"дубинка; палка"	"дубинка"	""	""	""
"55501"	"прилипший (к); привязанный (к)"	""	""	""	""
"55502"	""	"прикрепляется, застревает, присоединяется, цепляется"	""	""	""
"55503"	""	"прилипание; привязанность"	""	""	""
"55504"	""	"заставляет цепляться; заставляет держаться"	""	""	""
"55505"	""	"прикрепился, прилип, завис, повис"	""	""	""
"55506"	""	"прилипший; прикрепленный"	""	""	""
"55507"	""	"повешенный, прикреплённый"	""	""	""
"55508"	""	"прилипать; прикрепляться; цепляться"	""	""	""
"55509"	"вешает"	"вешает"	""	""	""
"55510"	""	"повесив; прикрепив"	""	""	""
"55511"	""	"прилипнув; прицепившись"	""	""	""
"55512"	""	"висел; прилип"	""	""	""
"55513"	""	"лёгкость"	""	""	""
"55514"	""	"засов; штанга; поперечная балка; барьер; препятствие"	""	""	""
"55515"	""	"хвост"	""	""	""
"55516"	""	"прыгун, акробат"	""	""	""
"55517"	""	"встает на дыбы; брыкается; досл. прыгает"	""	""	""
"55518"	""	"прыгание; скакание"	""	""	""
"55519"	""	"перепрыгнув; перескочив"	""	""	""
"55520"	""	"заставляет прыгать"	""	""	""
"55521"	""	"перепрыгнул; подпрыгнул"	""	""	""
"55522"	""	"перепрыгнутый; освобождённый; нарушенный"	""	""	""
"55523"	""	"перепрыгнув; подпрыгнув"	""	""	""
"55524"	""	"прыгун; порог"	""	""	""
"55525"	""	"перепрыгивает; выпускает; нарушает"	""	""	""
"55526"	""	"ты хочешь перепрыгнуть; ты желаешь перепрыгнуть"	""	""	""
"55527"	""	"перепрыгивать; перескакивать; перепрыгивать через"	""	""	""
"55528"	""	"перепрыгнув; выполнив; преступив"	""	""	""
"55529"	""	"перепрыгнул; исполнил; нарушил"	""	""	""
"55530"	"получит; обретет"	""	""	""	""
"55531"	"стыдится; смущается"	""	""	""	""
"55532"	""	"стесняется; сдерживается (о)"	""	""	""
"55533"	""	"становление постыдным"	""	""	""
"55534"	""	"смущаясь, стесняясь"	""	""	""
"55535"	""	"смущающийся"	""	""	""
"55536"	""	"совесть; щепетильность"	""	""	""
"55537"	"стыд (о); застенчивость (об); смущение (от); угрызения совести (по поводу)"	""	""	""	""
"55538"	""	"позорение; унижение; смущение; досл. причинение стыда"	""	""	""
"55539"	""	"опозоренный; униженный; смущённый; досл. вызвавший стыд"	""	""	""
"55540"	""	"вызывает стыд; смущает; позорит"	""	""	""
"55541"	""	"опозорил; унизил; привёл в смущение; досл. вызвал стыд"	""	""	""
"55542"	""	"стыдящийся; смущающийся"	""	""	""
"55543"	""	"испытывал стыд, смущение"	""	""	""
"55544"	""	"опозоренный; смущённый"	""	""	""
"55545"	""	"следует стыдиться; досл. должно стыдиться"	""	""	""
"55546"	""	"достойный стыда"	""	""	""
"55547"	"следует стыдиться"	""	""	""	""
"55548"	""	"стыдившись; смутившись"	""	""	""
"55549"	""	"добросовестный человек"	""	""	""
"55550"	"кто имеет совесть; добросовестный"	""	"кто стыдится"	""	""
"55551"	""	"испытывает стыд; имеет чувство совести"	""	""	""
"55552"	""	"взятка"	""	""	""
"55553"	""	"берущий взятки"	""	""	""
"55554"	""	"взяточничество"	""	""	""
"55555"	""	"знак; отпечаток; след"	""	""	""
"55556"	""	"печатник; штамповщик; клеймильщик"	""	""	""
"55557"	""	"маркирует; штампует; опечатывает"	""	""	""
"55558"	""	"знак; отпечаток"	""	""	""
"55559"	""	"отметил; проштамповал; запечатал"	""	""	""
"55560"	""	"помеченный, штампованный, впечатленный, рельефный"	""	""	""
"55561"	""	"факт отмеченности; факт запечатанности"	""	""	""
"55562"	""	"отметив; проштамповав; запечатав"	""	""	""
"55563"	""	"метит; штампует; опечатывает"	""	""	""
"55564"	""	"пометив; отштамповав; запечатав"	""	""	""
"55565"	""	"отметил; проштамповал; опечатал"	""	""	""
"55566"	""	"взятка; откат"	""	""	""
"55567"	""	"взятие взятки; принятие незаконного вознаграждения"	""	""	""
"55568"	"Джатака 357 (JA357)"	""	""	""	""
"55569"	""	"пурпурный нектарник (Cinnyris asiaticus)"	""	"[пер. ИИ] Часто неправильно переводится как ""перепел""."	""
"55570"	"Мадджхима Никая 66 (MN66)"	"маджхима никая 66; наставление о притче фиолетовой нектарницы (MN66)"	"наставление о сравнении с фиолетовой нектарницей"	"[пер. ИИ] Часто неправильно переводится как ""рябчик""."	""
"55571"	""	"палка; жезл; розга; что-либо тонкое или стройное"	""	""	""
"55572"	""	"молодое дерево; саженец"	""	""	""
"55573"	"саженец; молодое дерево"	""	"палка"	""	""
"55574"	""	"помет животных; экскременты; козьи гранулы"	""	""	""
"55575"	""	"выделяющий навоз; досл. заставляющий навоз течь"	""	""	""
"55576"	""	"экскременты животных; помёт; козьи гранулы"	""	""	""
"55577"	"лиана; усик"	""	""	""	""
"55578"	""	"(о молнии) раздвоение; полоска; вспышка; досл. ползучее растение"	""	""	""
"55579"	""	"(о внутреннем убранстве) узор в виде лиан; досл. работа лиан"	""	""	""
"55580"	""	"хлопок из вьющихся растений"	""	""	""
"55581"	"Виманаваттху 32 (VV32)"	""	""	""	""
"55582"	"полученный; обретенный"	""	""	""	""
"55583"	""	"может быть получен; доступен; досл. должен быть получен"	""	""	""
"55584"	""	"обаятельный; приятный"	""	""	""
"55585"	""	"достигнутые добродетели"	""	""	""
"55586"	"с данным именем; так называемый"	"данное имя; так называемый; имя данное"	""	""	""
"55587"	""	"полученное необходимое"	""	""	""
"55588"	""	"подлежит получению, досл. к приобретению"	""	""	""
"55589"	""	"факт получения; факт достижения"	""	""	""
"55590"	""	"взятая пища; принятая пища; досл. полученная пища"	""	""	""
"55591"	""	"факт обретения власти; факт занятия трона"	""	""	""
"55592"	""	"приобретённые выгоды; полученные материальные предметы; досл. полученная прибыль"	""	""	""
"55593"	""	"приобретший друзей; обзаведшийся товарищами"	""	""	""
"55594"	"получив; достигнув; обретя"	""	""	"см. SDM 17 laddhā'ti labhitvā. laddhānā'ti labhitvāna. diṭṭhā'ti disvā"	""
"55595"	"получив; приобретя"	""	""	""	""
"55596"	""	"освежившийся; оправившийся от трудностей"	""	""	""
"55597"	""	"религиозное верование; философское мнение; досл. что-то полученное"	""	""	""
"55598"	""	"имеющий определённое мнение"	""	""	""
"55599"	""	"факт наличия религиозной веры; факт наличия философской точки зрения"	""	""	""
"55600"	"получать; обретать"	""	""	""	""
"55601"	""	"разговорчивый; болтливый; словоохотливый"	""	""	""
"55602"	""	"льстец; угодник; подхалим; обожатель"	""	""	""
"55604"	"болтает; лепечет; говорит чушь"	""	""	""	""
"55605"	""	"льстивость; убеждение; заигрывание; уговоры; задобрение; досл. беседа"	""	""	""
"55606"	""	"рот; досл. говорение"	""	""	""
"55607"	""	"зуб; досл. рожденный изо рта"	""	""	""
"55608"	"умасливание; упрашивание; уговаривание; лесть"	""	"болтовня"	""	""
"55609"	"говорит; рассказывает; заявляет"	""	""	""	""
"55610"	"говорит (с); обращается (к); болтает (с)"	""	""	""	""
"55611"	""	"сказал, говорил, болтал"	""	""	""
"55612"	"сказанный; проговорённый; произнесённый (кем-либо)"	""	"болтавший"	""	""
"55613"	""	"словесное повторение; механическое заучивание; повторение сказанного; досл. побуждение говорить то, что было сказано"	""	""	""
"55614"	""	"простое словесное повторение; простое механическое заучивание; простое повторение сказанного; досл. говорение того, что уже сказано"	""	""	""
"55615"	""	"сказав; поговорив; поболтав"	""	""	""
"55616"	""	"дерево хлебное; Артокарпус лакуча; Артокарпус альтилис"	""	""	""
"55617"	""	"вор-артокарпус"	""	""	""
"55618"	""	"хранитель хлебных деревьев"	""	""	""
"55619"	"получается (среди); приобретается (из); принимается (от)"	""	""	""	""
"55620"	"находится (в); существует"	""	"обретается (в)"	""	""
"55621"	"возможно получить (для)"	""	"обретается (в)"	""	""
"55622"	""	"получаемый; достижимый (для)"	""	""	""
"55623"	""	"получаемый; принимаемый"	""	""	""
"55624"	""	"факт получения; факт приобретения; досл. состояние достигнутости"	""	""	""
"55625"	"возможно; вероятно"	""	"к получению"	""	""
"55626"	""	""	""	""	""
"55627"	""	"получающий; приобретающий; получаемый"	""	""	""
"55628"	""	"(грам) √labh (получать); 497, 477. <b>labhasmā</b> ī iṃnaṃ ttha tthaṃ."	""	""	""
"55629"	""	"удаётся увидеть; есть возможность посетить"	""	""	""
"55630"	"приобретает; получает; обретает"	""	""	""	""
"55631"	""	"допустимо; разрешено"	""	""	""
"55632"	"сам получает; сам приобретает"	""	""	""	""
"55633"	"получающий; обретающий; достигающий"	""	""	""	""
"55634"	"получающие пользу; обретающие благосостояние; достигающие блага"	""	""	""	""
"55635"	""	"получающий; обретение"	""	""	""
"55636"	""	"получил"	""	""	""
"55637"	""	"получать; приобретать"	""	""	""
"55638"	"получив; обретя"	""	""	""	""
"55639"	""	"получил бы; приобрёл бы"	""	""	""
"55640"	"получит; обретет"	""	""	""	""
"55641"	"может обрести самостоятельно; может достичь сам; может сам найти"	""	""	""	""
"55642"	"ты можешь обрести самостоятельно; ты можешь овладеть; ты можешь получить"	""	""	""	""
"55643"	"я бы мог получить; я бы получил"	""	""	""	""
"55644"	""	"висящий, свисающий"	""	""	""
"55645"	""	"то, что свисает; маятник"	""	""	""
"55646"	""	"королевский офицер; досл. свисающее перо"	""	""	""
"55647"	""	"свисает; поникает"	""	""	""
"55648"	""	"свисающий; подвешивающий"	""	""	""
"55649"	""	"свисающий; подвешивающий"	""	""	""
"55650"	""	"повис, висел"	""	""	""
"55651"	""	""	""	""	""
"55652"	"поколебавшись; сдержавшись; сделав паузу"	""	"повесив"	""	""
"55653"	""	"повисев, повесив"	""	""	""
"55654"	""	"хорошо висящий; хорошо обеспеченный; досл. висящий"	""	""	""
"55655"	""	"имя группы божеств"	""	""	""
"55656"	""	"подвешивает; приостанавливает"	""	""	""
"55657"	""	""	""	""	""
"55658"	""	"подвесил"	""	""	""
"55659"	"мгновение; миг; момент"	""	""	""	""
"55660"	""	"женщина"	""	""	""
"55661"	""	"изящество; очарование"	""	""	""
"55662"	""	"сияет; играет"	""	""	""
"55663"	""	"сиял; играл"	""	""	""
"55664"	"жидкость в суставах; синовиальная жидкость"	""	""	""	""
"55665"	""	"мозги"	""	""	""
"55666"	""	"чеснок"	""	""	""
"55667"	""	"воспринимающий как чеснок"	""	""	""
"55668"	""	"правило о чесноке"	""	""	""
"55669"	""	"глава о чесноке"	""	""	""
"55670"	""	"капля"	""	""	""
"55671"	""	"гвоздика"	""	""	""
"55672"	""	"соль"	""	""	""
"55673"	""	"косение; жатва; досл. резание"	""	""	""
"55674"	""	"заставляет (поле) быть убранным; даёт собрать урожай; досл. заставляет срезать"	""	""	""
"55675"	""	"вызвав к уборке (поля); заставив пожать; досл. вызвав отрезать"	""	""	""
"55676"	""	"собранное; досл. срезанное"	""	""	""
"55677"	"быстрый; легкий"	""	""	""	""
"55678"	""	"легкий"	""	""	""
